description,attribute,metric,value
State Data,Statewide,Cases,12968
State Data,Statewide,Hospitalizations,2410
State Data,Statewide,Counties,57
State Data,Statewide,People Tested,59791
State Data,Statewide,Deaths,672
State Data,Statewide,Outbreaks,141
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results.,NA
Colorado Case Counts by County,Adams County,Cases,1302
Colorado Case Counts by County,Alamosa County,Cases,10
Colorado Case Counts by County,Arapahoe County,Cases,2083
Colorado Case Counts by County,Archuleta County,Cases,8
Colorado Case Counts by County,Baca County,Cases,10
Colorado Case Counts by County,Bent County,Cases,0
Colorado Case Counts by County,Boulder County,Cases,497
Colorado Case Counts by County,Broomfield County,Cases,135
Colorado Case Counts by County,Chaffee County,Cases,65
Colorado Case Counts by County,Cheyenne County,Cases,0
Colorado Case Counts by County,Clear Creek County,Cases,13
Colorado Case Counts by County,Conejos County,Cases,0
Colorado Case Counts by County,Costilla County,Cases,3
Colorado Case Counts by County,Crowley County,Cases,2
Colorado Case Counts by County,Custer County,Cases,2
Colorado Case Counts by County,Delta County,Cases,26
Colorado Case Counts by County,Denver County,Cases,2487
Colorado Case Counts by County,Dolores County,Cases,0
Colorado Case Counts by County,Douglas County,Cases,425
Colorado Case Counts by County,Eagle County,Cases,512
Colorado Case Counts by County,El Paso County,Cases,862
Colorado Case Counts by County,Elbert County,Cases,27
Colorado Case Counts by County,Fremont County,Cases,20
Colorado Case Counts by County,Garfield County,Cases,83
Colorado Case Counts by County,Gilpin County,Cases,1
Colorado Case Counts by County,Grand County,Cases,5
Colorado Case Counts by County,Grand Total County,Cases,12968
Colorado Case Counts by County,Gunnison County,Cases,151
Colorado Case Counts by County,Hinsdale County,Cases,3
Colorado Case Counts by County,Huerfano County,Cases,2
Colorado Case Counts by County,Jackson County,Cases,0
Colorado Case Counts by County,Jefferson County,Cases,1236
Colorado Case Counts by County,Kiowa County,Cases,0
Colorado Case Counts by County,Kit Carson County,Cases,19
Colorado Case Counts by County,La Plata County,Cases,59
Colorado Case Counts by County,Lake County,Cases,16
Colorado Case Counts by County,Larimer County,Cases,303
Colorado Case Counts by County,Las Animas County,Cases,3
Colorado Case Counts by County,Lincoln County,Cases,4
Colorado Case Counts by County,Logan County,Cases,213
Colorado Case Counts by County,Mesa County,Cases,38
Colorado Case Counts by County,Mineral County,Cases,2
Colorado Case Counts by County,Moffat County,Cases,6
Colorado Case Counts by County,Montezuma County,Cases,15
Colorado Case Counts by County,Montrose County,Cases,87
Colorado Case Counts by County,Morgan County,Cases,249
Colorado Case Counts by County,Otero County,Cases,8
Colorado Case Counts by County,Ouray County,Cases,5
Colorado Case Counts by County,Park County,Cases,7
Colorado Case Counts by County,Phillips County,Cases,5
Colorado Case Counts by County,Pitkin County,Cases,59
Colorado Case Counts by County,Prowers County,Cases,1
Colorado Case Counts by County,Pueblo County,Cases,121
Colorado Case Counts by County,Rio Blanco County,Cases,1
Colorado Case Counts by County,Rio Grande County,Cases,7
Colorado Case Counts by County,Routt County,Cases,52
Colorado Case Counts by County,Saguache County,Cases,3
Colorado Case Counts by County,San Juan County,Cases,1
Colorado Case Counts by County,San Miguel County,Cases,17
Colorado Case Counts by County,Sedgwick County,Cases,0
Colorado Case Counts by County,Summit County,Cases,97
Colorado Case Counts by County,Teller County,Cases,27
Colorado Case Counts by County,Unknown Or Pending County,Cases,131
Colorado Case Counts by County,Washington County,Cases,6
Colorado Case Counts by County,Weld County,Cases,1430
Colorado Case Counts by County,Yuma County,Cases,6
Colorado Case Counts by County,Note,People who tested positive for COVID-19 in Colorado while visiting are included in the county where they were identified.,NA
COVID-19 in Colorado by Age Group,0-9,Percent of Cases,1.15
COVID-19 in Colorado by Age Group,10-19,Percent of Cases,2.63
COVID-19 in Colorado by Age Group,20-29,Percent of Cases,13.65
COVID-19 in Colorado by Age Group,30-39,Percent of Cases,16.49
COVID-19 in Colorado by Age Group,40-49,Percent of Cases,16.79
COVID-19 in Colorado by Age Group,50-59,Percent of Cases,17.53
COVID-19 in Colorado by Age Group,60-69,Percent of Cases,13.56
COVID-19 in Colorado by Age Group,70-79,Percent of Cases,8.99
COVID-19 in Colorado by Age Group,80+,Percent of Cases,8.83
COVID-19 in Colorado by Age Group,Unknown,Percent of Cases,0.39
COVID-19 in Colorado by Race & Ethnicity,AIAN - Non Hispanic,Percent of Cases,0.5
COVID-19 in Colorado by Race & Ethnicity,Asian - Non Hispanic,Percent of Cases,2.73
COVID-19 in Colorado by Race & Ethnicity,Black - Non Hispanic,Percent of Cases,7.54
COVID-19 in Colorado by Race & Ethnicity,"Hispanic, All Races",Percent of Cases,33.63
COVID-19 in Colorado by Race & Ethnicity,Multiple - Non Hispanic,Percent of Cases,1.58
COVID-19 in Colorado by Race & Ethnicity,NHOPI - Non Hispanic,Percent of Cases,0.54
COVID-19 in Colorado by Race & Ethnicity,White - Non Hispanic,Percent of Cases,52.5
COVID-19 in Colorado by Race & Ethnicity,Other,Percent of Cases,0.98
COVID-19 in Colorado by Race & Ethnicity,Note,Cases with an unknown race or ethnicity are excluded from the above calculations.,NA
COVID-19 in Colorado by Race & Ethnicity,AIAN - Non Hispanic,Percent of Deaths,0.16
COVID-19 in Colorado by Race & Ethnicity,Asian - Non Hispanic,Percent of Deaths,3.2
COVID-19 in Colorado by Race & Ethnicity,Black - Non Hispanic,Percent of Deaths,6.56
COVID-19 in Colorado by Race & Ethnicity,"Hispanic, All Races",Percent of Deaths,17.44
COVID-19 in Colorado by Race & Ethnicity,Multiple - Non Hispanic,Percent of Deaths,1.28
COVID-19 in Colorado by Race & Ethnicity,NHOPI - Non Hispanic,Percent of Deaths,0.8
COVID-19 in Colorado by Race & Ethnicity,White - Non Hispanic,Percent of Deaths,70.4
COVID-19 in Colorado by Race & Ethnicity,Other,Percent of Deaths,0.16
COVID-19 in Colorado by Race & Ethnicity,Note,Cases with an unknown race or ethnicity are excluded from the above calculations.,NA
COVID-19 in Colorado by Sex,Female,Percent of Cases,51.18
COVID-19 in Colorado by Sex,Male,Percent of Cases,47.53
COVID-19 in Colorado by Sex,Male to Female,Percent of Cases,0.01
COVID-19 in Colorado by Sex,Unknown,Percent of Cases,1.28
COVID-19 in Colorado by Sex,Female,Percent of Deaths,41.52
COVID-19 in Colorado by Sex,Male,Percent of Deaths,57.74
COVID-19 in Colorado by Sex,Unknown,Percent of Deaths,0.74
Case Status for Cases & Deaths,Confirmed,Number of Cases,11533
Case Status for Cases & Deaths,Confirmed,Percent of Cases,0.89
Case Status for Cases & Deaths,Confirmed,Number of Deaths,564
Case Status for Cases & Deaths,Confirmed,Percent of Deaths,0.84
Case Status for Cases & Deaths,Probable,Number of Cases,1335
Case Status for Cases & Deaths,Probable,Percent of Cases,0.1
Case Status for Cases & Deaths,Probable,Number of Deaths,106
Case Status for Cases & Deaths,Probable,Percent of Deaths,0.16
Case Status for Cases & Deaths,Unknown,Number of Cases,100
Case Status for Cases & Deaths,Unknown,Percent of Cases,0.01
Case Status for Cases & Deaths,Unknown,Number of Deaths,2
Case Status for Cases & Deaths,Unknown,Percent of Deaths,0
Cases of COVID-19 in Colorado by Date Reported to the State,2020-02-22,Three-Day Moving Average Of Cases,0.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-02-23,Three-Day Moving Average Of Cases,0
Cases of COVID-19 in Colorado by Date Reported to the State,2020-02-24,Three-Day Moving Average Of Cases,0
Cases of COVID-19 in Colorado by Date Reported to the State,2020-02-25,Three-Day Moving Average Of Cases,0
Cases of COVID-19 in Colorado by Date Reported to the State,2020-02-26,Three-Day Moving Average Of Cases,0.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-02-27,Three-Day Moving Average Of Cases,0.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-02-28,Three-Day Moving Average Of Cases,0.33
Cases of COVID-19 in Colorado by Date Reported to the State,2020-02-29,Three-Day Moving Average Of Cases,0
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-01,Three-Day Moving Average Of Cases,0
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-02,Three-Day Moving Average Of Cases,0
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-03,Three-Day Moving Average Of Cases,0
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-04,Three-Day Moving Average Of Cases,0
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-05,Three-Day Moving Average Of Cases,2.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-06,Three-Day Moving Average Of Cases,2.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-07,Three-Day Moving Average Of Cases,2.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-08,Three-Day Moving Average Of Cases,0
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-09,Three-Day Moving Average Of Cases,1.67
Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-10,Three-Day Moving Average Of Cases,3.67
